SKU,Produto,Marca,Categoria,Preço Unitário,Custo Unitário,Preço com Desconto
HL1024,Aspire 5,Acer,Notebook,2400,1150,2040
HL1008,Smart TV LED Full HD 55',Philco,Televisão,2000,1250,1700
HL1019,iPhone XS,Apple,Celular,6500,2800,5525
HL1001,Smart TV 50' 4K,LG,Televisão,2600,1700,2210
HL1002,iPhone 7,Apple,Celular,2500,1500,2125
HL1007,Inspiron 15,Dell,Notebook,2300,1200,1955
HL1009,Moto G7,Motorola,Celular,1400,750,1190
HL1003,Galaxy S10,Samsung,Celular,4500,2800,3825
HL1020,Moto Z,Motorola,Celular,1500,650,1275
HL1005,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1275
HL1014,Galaxy J8,Samsung,Celular,1100,550,935
HL1021,Galaxy S8,Samsung,Celular,3000,1400,2550
HL1023,Samsung Dual Core,Samsung,Notebook,1500,550,1275
HL1018,Smart Watch MI,Xiaomi,Smart Watch,1200,650,1020
HL1013,Câmera Coolpix L340,Nikon,Câmera,1550,700,1318
HL1010,iPhone 6S,Apple,Celular,1900,1150,1615
HL1006,TV LED 32',Samsung,Televisão,1400,900,1190
HL1015,Câmera Digital Sony Cyber,Sony,Câmera,700,300,595
HL1017,Smart TV 75' 4K,Samsung,Televisão,5200,3500,4420
HL1012,Dell G7,Dell,Notebook,5500,3200,4675
HL1016,Smart Watch Galaxy,Samsung,Smart Watch,1450,700,1232
HL1004,Apple Watch,Apple,Smart Watch,1750,900,1488
HL1011,Tablet M10 Android,Samsung,Tablet,2000,1100,1700
HL1022,iPad 32GB Wifi,Apple,Tablet,750,350,638
